Id_simulation,Landscape,Initialisation,Mortalite_par_pas,PR_Method
1,31I,0,0.005,1
2,31G5,0,0.005,1
3,31W5,0,0.005,1
4,31G10,0,0.005,1
5,31W10,0,0.005,1
6,31G15,0,0.005,1
7,31W15,0,0.005,1
8,31G20,0,0.005,1
9,31W20,0,0.005,1
10,31G25,0,0.005,1
11,31W25,0,0.005,1
12,31I,0,0.005,2
13,31G5,0,0.005,2
14,31W5,0,0.005,2
15,31G10,0,0.005,2
16,31W10,0,0.005,2
17,31G15,0,0.005,2
18,31W15,0,0.005,2
19,31G20,0,0.005,2
20,31W20,0,0.005,2
21,31G25,0,0.005,2
22,31W25,0,0.005,2
23,31I,0,0.02,1
24,31G5,0,0.02,1
25,31W5,0,0.02,1
26,31G10,0,0.02,1
27,31W10,0,0.02,1
28,31G15,0,0.02,1
29,31W15,0,0.02,1
30,31G20,0,0.02,1
31,31W20,0,0.02,1
32,31G25,0,0.02,1
33,31W25,0,0.02,1
34,31I,0,0.02,2
35,31G5,0,0.02,2
36,31W5,0,0.02,2
37,31G10,0,0.02,2
38,31W10,0,0.02,2
39,31G15,0,0.02,2
40,31W15,0,0.02,2
41,31G20,0,0.02,2
42,31W20,0,0.02,2
43,31G25,0,0.02,2
44,31W25,0,0.02,2
45,36I,0,0.005,1
46,36G5,0,0.005,1
47,36W5,0,0.005,1
48,36G10,0,0.005,1
49,36W10,0,0.005,1
50,36G15,0,0.005,1
51,36W15,0,0.005,1
52,36G20,0,0.005,1
53,36W20,0,0.005,1
54,36G25,0,0.005,1
55,36W25,0,0.005,1
56,36I,0,0.005,2
57,36G5,0,0.005,2
58,36W5,0,0.005,2
59,36G10,0,0.005,2
60,36W10,0,0.005,2
61,36G15,0,0.005,2
62,36W15,0,0.005,2
63,36G20,0,0.005,2
64,36W20,0,0.005,2
65,36G25,0,0.005,2
66,36W25,0,0.005,2
67,36I,0,0.02,1
68,36G5,0,0.02,1
69,36W5,0,0.02,1
70,36G10,0,0.02,1
71,36W10,0,0.02,1
72,36G15,0,0.02,1
73,36W15,0,0.02,1
74,36G20,0,0.02,1
75,36W20,0,0.02,1
76,36G25,0,0.02,1
77,36W25,0,0.02,1
78,36I,0,0.02,2
79,36G5,0,0.02,2
80,36W5,0,0.02,2
81,36G10,0,0.02,2
82,36W10,0,0.02,2
83,36G15,0,0.02,2
84,36W15,0,0.02,2
85,36G20,0,0.02,2
86,36W20,0,0.02,2
87,36G25,0,0.02,2
88,36W25,0,0.02,2
89,41I,0,0.005,1
90,41G5,0,0.005,1
91,41W5,0,0.005,1
92,41G10,0,0.005,1
93,41W10,0,0.005,1
94,41G15,0,0.005,1
95,41W15,0,0.005,1
96,41G20,0,0.005,1
97,41W20,0,0.005,1
98,41G25,0,0.005,1
99,41W25,0,0.005,1
100,41I,0,0.005,2
101,41G5,0,0.005,2
102,41W5,0,0.005,2
103,41G10,0,0.005,2
104,41W10,0,0.005,2
105,41G15,0,0.005,2
106,41W15,0,0.005,2
107,41G20,0,0.005,2
108,41W20,0,0.005,2
109,41G25,0,0.005,2
110,41W25,0,0.005,2
111,41I,0,0.02,1
112,41G5,0,0.02,1
113,41W5,0,0.02,1
114,41G10,0,0.02,1
115,41W10,0,0.02,1
116,41G15,0,0.02,1
117,41W15,0,0.02,1
118,41G20,0,0.02,1
119,41W20,0,0.02,1
120,41G25,0,0.02,1
121,41W25,0,0.02,1
122,41I,0,0.02,2
123,41G5,0,0.02,2
124,41W5,0,0.02,2
125,41G10,0,0.02,2
126,41W10,0,0.02,2
127,41G15,0,0.02,2
128,41W15,0,0.02,2
129,41G20,0,0.02,2
130,41W20,0,0.02,2
131,41G25,0,0.02,2
132,41W25,0,0.02,2
133,31I,1,0.005,1
134,31G5,1,0.005,1
135,31W5,1,0.005,1
136,31G10,1,0.005,1
137,31W10,1,0.005,1
138,31G15,1,0.005,1
139,31W15,1,0.005,1
140,31G20,1,0.005,1
141,31W20,1,0.005,1
142,31G25,1,0.005,1
143,31W25,1,0.005,1
144,31I,1,0.005,2
145,31G5,1,0.005,2
146,31W5,1,0.005,2
147,31G10,1,0.005,2
148,31W10,1,0.005,2
149,31G15,1,0.005,2
150,31W15,1,0.005,2
151,31G20,1,0.005,2
152,31W20,1,0.005,2
153,31G25,1,0.005,2
154,31W25,1,0.005,2
155,31I,1,0.02,1
156,31G5,1,0.02,1
157,31W5,1,0.02,1
158,31G10,1,0.02,1
159,31W10,1,0.02,1
160,31G15,1,0.02,1
161,31W15,1,0.02,1
162,31G20,1,0.02,1
163,31W20,1,0.02,1
164,31G25,1,0.02,1
165,31W25,1,0.02,1
166,31I,1,0.02,2
167,31G5,1,0.02,2
168,31W5,1,0.02,2
169,31G10,1,0.02,2
170,31W10,1,0.02,2
171,31G15,1,0.02,2
172,31W15,1,0.02,2
173,31G20,1,0.02,2
174,31W20,1,0.02,2
175,31G25,1,0.02,2
176,31W25,1,0.02,2
177,36I,1,0.005,1
178,36G5,1,0.005,1
179,36W5,1,0.005,1
180,36G10,1,0.005,1
181,36W10,1,0.005,1
182,36G15,1,0.005,1
183,36W15,1,0.005,1
184,36G20,1,0.005,1
185,36W20,1,0.005,1
186,36G25,1,0.005,1
187,36W25,1,0.005,1
188,36I,1,0.005,2
189,36G5,1,0.005,2
190,36W5,1,0.005,2
191,36G10,1,0.005,2
192,36W10,1,0.005,2
193,36G15,1,0.005,2
194,36W15,1,0.005,2
195,36G20,1,0.005,2
196,36W20,1,0.005,2
197,36G25,1,0.005,2
198,36W25,1,0.005,2
199,36I,1,0.02,1
200,36G5,1,0.02,1
201,36W5,1,0.02,1
202,36G10,1,0.02,1
203,36W10,1,0.02,1
204,36G15,1,0.02,1
205,36W15,1,0.02,1
206,36G20,1,0.02,1
207,36W20,1,0.02,1
208,36G25,1,0.02,1
209,36W25,1,0.02,1
210,36I,1,0.02,2
211,36G5,1,0.02,2
212,36W5,1,0.02,2
213,36G10,1,0.02,2
214,36W10,1,0.02,2
215,36G15,1,0.02,2
216,36W15,1,0.02,2
217,36G20,1,0.02,2
218,36W20,1,0.02,2
219,36G25,1,0.02,2
220,36W25,1,0.02,2
221,41I,1,0.005,1
222,41G5,1,0.005,1
223,41W5,1,0.005,1
224,41G10,1,0.005,1
225,41W10,1,0.005,1
226,41G15,1,0.005,1
227,41W15,1,0.005,1
228,41G20,1,0.005,1
229,41W20,1,0.005,1
230,41G25,1,0.005,1
231,41W25,1,0.005,1
232,41I,1,0.005,2
233,41G5,1,0.005,2
234,41W5,1,0.005,2
235,41G10,1,0.005,2
236,41W10,1,0.005,2
237,41G15,1,0.005,2
238,41W15,1,0.005,2
239,41G20,1,0.005,2
240,41W20,1,0.005,2
241,41G25,1,0.005,2
242,41W25,1,0.005,2
243,41I,1,0.02,1
244,41G5,1,0.02,1
245,41W5,1,0.02,1
246,41G10,1,0.02,1
247,41W10,1,0.02,1
248,41G15,1,0.02,1
249,41W15,1,0.02,1
250,41G20,1,0.02,1
251,41W20,1,0.02,1
252,41G25,1,0.02,1
253,41W25,1,0.02,1
254,41I,1,0.02,2
255,41G5,1,0.02,2
256,41W5,1,0.02,2
257,41G10,1,0.02,2
258,41W10,1,0.02,2
259,41G15,1,0.02,2
260,41W15,1,0.02,2
261,41G20,1,0.02,2
262,41W20,1,0.02,2
263,41G25,1,0.02,2
264,41W25,1,0.02,2
